################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.6028655692050862E+01 a       333     0    12     1     3
 -2.7517403047532774E+01 a       334     0    12     1     4
  2.2708800602343317E+01 a       335     0    12     1     5
 -1.1768784545293295E+01 a       336     0    12     1     6
  5.3394000791464311E+00 a       337     0    12     1     7
  5.5751477457012207E+01 a       338     0    12     1     8
  3.5221988468353047E+01 a       339     0    12     1     9
  9.8751530594639085E+00 a       340     0    12     1    10
  2.6249503236149696E+00 a       341     0    12     1    11
 -3.4201293622628297E+00 a       342     0    12     1    12
 -2.7623067979244688E+01 a       343     0    12     1    13
  1.5939686946412966E+01 a       344     0    12     1    14
  3.0501561048726419E+01 a       345     0    12     1    15
  3.3303199353304841E+01 a       346     0    12     1    16
 -2.4621899673216276E+01 a       347     0    12     1    17
 -2.3254782768026061E+01 a       348     0    12     1    18
  1.9907857884203029E+01 a       349     0    12     1    19
 -2.3604572645869791E+01 a       350     0    12     1    20
 -1.5254770619575025E+01 a       351     0    12     1    21
  1.9513382224851321E+00 a       352     0    12     1    22
 -4.3791175951305821E+00 a       353     0    12     1    23
 -3.4135818977829679E+01 a       354     0    12     1    24
  2.2522842477885817E+01 a       355     0    12     1    25
 -3.2191668536521107E+01 a       356     0    12     1    26
  1.9861798617494486E+01 a       357     0    12     1    27
 -3.2566614234001006E+00 a       358     0    12     1    28
 -5.3508732524906799E+00 a       359     0    12     1    29
  2.1838501259889034E+00 a       360     0    12     1    30
  3.3185386613783501E+00 a       361     0    13     1     1
 -3.0983285584946838E+00 a       362     0    13     1     2
  1.1375089502831671E+01 a       363     0    13     1     3
 -9.9357092523212553E-01 a       364     0    13     1     4
  7.5410797420316505E-02 a       365     0    13     1     5
 -1.5450781555984152E+00 a       366     0    13     1     6
  3.1475919101257910E-01 a       367     0    13     1     7
  1.0088530862315334E+01 a       368     0    13     1     8
  1.0464529681046887E+01 a       369     0    13     1     9
  9.5859318185663884E+00 a       370     0    13     1    10
 -1.5734431100289545E+01 a       371     0    13     1    11
 -3.9678032822689486E+00 a       372     0    13     1    12
 -8.1021750175967870E+00 a       373     0    13     1    13
  4.0122514139557790E+00 a       374     0    13     1    14
 -5.0189530881472733E+00 a       375     0    13     1    15
 -1.4130520016084080E+01 a       376     0    13     1    16
  4.9251854562779984E+00 a       377     0    13     1    17
  1.0391741578874514E+01 a       378     0    13     1    18
 -2.5369965692862948E+00 a       379     0    13     1    19
 -2.4369654039992601E+00 a       380     0    13     1    20
 -5.5732619545892281E-01 a       381     0    13     1    21
  8.2519361486811231E+00 a       382     0    13     1    22
  2.8783202909538281E+00 a       383     0    13     1    23
 -6.0077334584345037E+00 a       384     0    13     1    24
  5.4894377472025093E+00 a       385     0    13     1    25
 -9.1101521784477502E+00 a       386     0    13     1    26
  1.0088218246702958E+01 a       387     0    13     1    27
  7.6537653074618983E-01 a       388     0    13     1    28
  6.5732876142101668E+00 a       389     0    13     1    29
 -5.0587485882421248E+00 a       390     0    13     1    30
  1.5513673357907505E+00 a       391     0    14     1     1
 -9.5178130457263954E+00 a       392     0    14     1     2
  2.1116218221272870E+01 a       393     0    14     1     3
 -2.8086562978099456E+00 a       394     0    14     1     4
 -2.2196216749240477E+01 a       395     0    14     1     5
  2.2034023517541648E+01 a       396     0    14     1     6
 -2.8898813495497890E+00 a       397     0    14     1     7
 -1.6975816421060994E+01 a       398     0    14     1     8
 -4.5135869817902430E+00 a       399     0    14     1     9
 -5.5967972457891557E+00 a       400     0    14     1    10
 -1.3980339975267821E+01 a       401     0    14     1    11
 -1.1984072074691463E+01 a       402     0    14     1    12
  1.6221927605185858E+01 a       403     0    14     1    13
  3.9208663918486466E+00 a       404     0    14     1    14
 -1.2508149185301560E+01 a       405     0    14     1    15
 -1.4443732433099424E+01 a       406     0    14     1    16
  9.5273277491700394E+00 a       407     0    14     1    17
 -1.5264602038863712E+01 a       408     0    14     1    18
 -1.5746379282864165E+01 a       409     0    14     1    19
 -1.3102985068348749E+01 a       410     0    14     1    20
  1.5381897272688642E+01 a       411     0    14     1    21
 -1.6546682605218965E+01 a       412     0    14     1    22
 -1.8832585678532109E+01 a       413     0    14     1    23
 -1.4530168846782455E+01 a       414     0    14     1    24
 -3.5593368593470989E+00 a       415     0    14     1    25
 -4.3682122080275620E+00 a       416     0    14     1    26
 -1.9914047772275985E+01 a       417     0    14     1    27
 -9.4382048423301743E+00 a       418     0    14     1    28
  1.8369337074668941E+01 a       419     0    14     1    29
  1.1005549635089059E+01 a       420     0    14     1    30
 -3.8675611951222844E-01 a       421     0    15     1     1
  1.0669801817019964E+00 a       422     0    15     1     2
 -3.8266886222755967E+00 a       423     0    15     1     3
 -1.9697835874883414E+00 a       424     0    15     1     4
 -4.4669658308714016E-01 a       425     0    15     1     5
 -6.6564451514933767E+00 a       426     0    15     1     6
 -1.6223012817925231E-01 a       427     0    15     1     7
  1.1195224480458442E+01 a       428     0    15     1     8
 -1.3881258450628797E-01 a       429     0    15     1     9
 -1.4100808453312554E+00 a       430     0    15     1    10
 -1.1337419858618992E+01 a       431     0    15     1    11
  9.7666917547684406E-01 a       432     0    15     1    12
 -7.9318219427539827E+00 a       433     0    15     1    13
  2.0313451105451565E+00 a       434     0    15     1    14
  2.0476344773882991E+00 a       435     0    15     1    15
 -8.6837369152628394E+00 a       436     0    15     1    16
 -3.1734282205074513E+00 a       437     0    15     1    17
 -1.1684239772523489E+01 a       438     0    15     1    18
 -5.0650611013969705E-04 a       439     0    15     1    19
 -2.9529823035907006E+00 a       440     0    15     1    20
  9.2621392349056664E-01 a       441     0    15     1    21
  4.7122568627192596E-01 a       442     0    15     1    22
 -8.6751863679702161E+00 a       443     0    15     1    23
  6.0351942092433868E+00 a       444     0    15     1    24
  4.5311003312212472E+00 a       445     0    15     1    25
  7.0944473541565358E+00 a       446     0    15     1    26
 -2.9617289085253722E+00 a       447     0    15     1    27
 -9.7535862782550642E-01 a       448     0    15     1    28
  4.3526261230148350E-01 a       449     0    15     1    29
 -9.8090519225696831E+00 a       450     0    15     1    30
 -1.2635086292677622E-01 a       451     0    16     1     1
 -5.7084998375097040E+00 a       452     0    16     1     2
 -2.4308699695954803E+00 a       453     0    16     1     3
  1.7166414476118351E+01 a       454     0    16     1     4
 -2.5943820579193306E+00 a       455     0    16     1     5
 -3.2087520342731612E+00 a       456     0    16     1     6
  3.2577553214945878E+00 a       457     0    16     1     7
 -5.0759252465888336E+00 a       458     0    16     1     8
 -5.8730566364721160E+00 a       459     0    16     1     9
 -9.8470628670223803E+00 a       460     0    16     1    10
  2.5457607931223518E+00 a       461     0    16     1    11
  3.2155565410731053E+00 a       462     0    16     1    12
  1.0720430374878470E+01 a       463     0    16     1    13
  8.9753884187627513E+00 a       464     0    16     1    14
 -6.2099837700161649E+00 a       465     0    16     1    15
 -5.9951101204686523E+00 a       466     0    16     1    16
  4.5300024082068813E-01 a       467     0    16     1    17
  3.7110832242932208E+00 a       468     0    16     1    18
  1.7236109502560621E+00 a       469     0    16     1    19
  1.8795915038981640E+01 a       470     0    16     1    20
 -4.5134234955222139E+00 a       471     0    16     1    21
  7.0751939572800682E+00 a       472     0    16     1    22
  3.8465507093471212E+00 a       473     0    16     1    23
  7.9568678943370283E+00 a       474     0    16     1    24
 -5.8655128218759529E+00 a       475     0    16     1    25
  6.4981909675513565E+00 a       476     0    16     1    26
  4.2558736980943230E+00 a       477     0    16     1    27
  5.7716425638432858E+00 a       478     0    16     1    28
 -3.2748242835573291E-03 a       479     0    16     1    29
 -5.6737260109272540E+00 a       480     0    16     1    30
 -6.3676277571115651E+00 a       481     0    17     1     1
 -1.8034576360959150E+01 a       482     0    17     1     2
 -1.0509110604870910E+01 a       483     0    17     1     3
  2.8499594354385462E+01 a       484     0    17     1     4
  2.5000273463598304E+00 a       485     0    17     1     5
 -2.5281314945258863E+01 a       486     0    17     1     6
  2.9624830292644798E+01 a       487     0    17     1     7
  2.1333672447405174E+01 a       488     0    17     1     8
  5.2919628492609952E+01 a       489     0    17     1     9
 -1.6257846251198981E+01 a       490     0    17     1    10
 -3.0361433692127562E+01 a       491     0    17     1    11
 -4.3923979460574735E+01 a       492     0    17     1    12
 -5.6139227876930109E+00 a       493     0    17     1    13
 -5.7766058531602829E+00 a       494     0    17     1    14
 -5.7294652279949521E+00 a       495     0    17     1    15
 -3.8401063809754355E+01 a       496     0    17     1    16
  6.2610128691147811E+00 a       497     0    17     1    17
  1.6089668989981720E+00 a       498     0    17     1    18
 -4.1930715445403592E+00 a       499     0    17     1    19
  5.0675965219190218E+00 a       500     0    17     1    20
 -6.2806730221814986E+00 a       501     0    17     1    21
 -8.6183016356854947E-01 a       502     0    17     1    22
 -1.1632599654456817E+01 a       503     0    17     1    23
 -2.3571490572957817E+01 a       504     0    17     1    24
  8.8181731960249010E+00 a       505     0    17     1    25
 -2.7681844131262596E+00 a       506     0    17     1    26
  1.9026461113657476E+01 a       507     0    17     1    27
 -6.9683675245468830E+00 a       508     0    17     1    28
  4.1588586781483585E+01 a       509     0    17     1    29
 -1.3987195340097278E+01 a       510     0    17     1    30
  1.0911218313132499E+01 a       511     0    18     1     1
 -1.9019052814348129E+01 a       512     0    18     1     2
  2.0776139321607733E+01 a       513     0    18     1     3
  8.9419110434320981E+00 a       514     0    18     1     4
 -3.1433857621673873E+01 a       515     0    18     1     5
  1.6037552853311596E-01 a       516     0    18     1     6
 -9.2720942261415225E+00 a       517     0    18     1     7
 -2.9548144131639479E+01 a       518     0    18     1     8
 -1.6344630534966857E+01 a       519     0    18     1     9
 -8.7704747898506046E+00 a       520     0    18     1    10
