################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          9   1.4486656616497354E-08   1.3527963423815370E+01   3.1949313258503711E+00   3.7357201311754051E-01
         2         10   3.4803162015224371E-14   3.0493948531062056E+00   1.4874463260357116E+00   6.3946116894676455E-02
         2         11   4.3595443882762436E-04   4.3559936199865518E+02   1.2850476534824855E+02   5.3767934104988633E+01
         2         12   3.6808706487492561E-10   2.1183691211086551E+02   2.3335679519270887E+01   1.3025106879909426E+01
         2         13   2.3487227361179821E-23   5.0365214934973949E+01   3.5499231723105376E+00   1.0174143820571471E+00
         2         14   2.3230316568591912E-50   1.2299614080538678E+01   5.7754438029378736E+00   9.8363978192882368E-02
         2         15   4.4443717924639798E-03   1.8670825098319052E+04   2.4310564038393222E+03   1.6417441411518287E+03
         2         16   4.8980630754877588E-02   5.4966815949033735E+04   1.2279365891253117E+04   6.4065696856983141E+03
         2         17   1.0029145219338707E-05   2.1325194738330752E+03   8.8787834712390364E+01   1.0458636861089390E+02
         2         18   3.8495242215875698E-02   2.9472893381180496E+04   7.8394649620615055E+03   3.6964678192348783E+03
         2         19   1.5707245302651725E-14   2.8287720275487493E+02   2.3056360994274820E+00   7.3194288080587482E+00
         2         20   1.8920195641597384E-02   7.4768366278966168E+03   2.3083949103185209E+03   7.8220367857018528E+02
         2         21   1.2493431539835067E-03   1.1900995601109753E+04   1.3621986386765709E+03   9.6338515452481136E+02
         2         22   1.4402873560762553E-02   3.4224768933709929E+04   6.9583028798175674E+03   3.7808358020083870E+03
         2         23   2.7157145168243204E-06   1.2824207585640493E+03   4.6571096232376476E+01   5.7189995262311996E+01
         2         24   1.1443555262481583E-02   1.7878474544543580E+04   4.4435617941053570E+03   2.1612441322237391E+03
         2         25   3.0185672330579390E-15   1.6317546617737267E+02   1.1654732155654879E+00   4.0430678937809219E+00
         2         26   5.8451813055258022E-03   4.2755551909819651E+03   1.3092905400365350E+03   4.1264912156367467E+02
         2         27   1.3834152071861940E-04   5.8109465477358526E+03   5.3048869049222480E+02   4.0697194955624707E+02
         2         28   1.7313959459455664E-03   1.5979698761430005E+04   2.7682295271859484E+03   1.6013909058171935E+03
         2         29   2.8369448283986279E-07   5.5793452361518928E+02   1.6291468050134185E+01   2.1380036603762889E+01
         2         30   1.4015393684843082E-03   7.9468402243184428E+03   1.7752891298787390E+03   8.9908950888854815E+02
         2         31   1.8330889170104980E-16   6.8427594885493932E+01   3.7970307651054552E-01   1.5328110650020825E+00
         2         32   7.6330292352969845E-04   1.7056980970298212E+03   5.4243486497394667E+02   1.3869740606842092E+02
         2         33   3.0807691302652211E-06   1.9199410818541458E+03   1.1953411644618322E+02   1.0556798850609883E+02
         2         34   4.5122182610135712E-05   4.9217092919855013E+03   6.6790104618466648E+02   4.1392340072148954E+02
         2         35   5.7539041840347639E-09   1.5177540622721804E+02   3.2099349368346046E+00   4.6848345358644519E+00
         2         36   3.7693155863351651E-05   2.2545061456811968E+03   4.4108825058446865E+02   2.2612340309137247E+02
         2         37   1.8420496257339135E-18   1.7250515333361196E+01   6.7103718659285605E-02   3.3473642246890989E-01
         2         38   2.2734331907676456E-05   4.0527171354734463E+02   1.5989606301089344E+02   2.2268941671744141E+01
         2         39   4.3857580939243875E-09   3.5859008971761483E+02   1.2368655587844522E+01   1.3693702929147912E+01
         2         40   8.8377333238413942E-08   8.4656461443316960E+02   9.1137810702626865E+01   5.3777898088991364E+01
         2         41   6.8728834349837897E-12   2.3193458332608042E+01   3.0676920971132871E-01   5.4469125562032283E-01
         2         42   7.7570603118141710E-08   3.5119421993275438E+02   6.7203112923227167E+01   2.8745839382540506E+01
         2         43   1.3134862019800697E-21   2.0766147157348902E+00   5.7862886185200014E-03   3.5499709617395743E-02
         2         44   5.4058102791987048E-08   6.4927172317060112E+01   3.5302377775888559E+01   4.7165273511390975E+00
         2         45   5.7779149269681898E-14   2.9799072828974996E+01   5.1738356898497517E-01   8.0558710913274645E-01
         2         46   2.1794454808515598E-12   6.7086529674031809E+01   7.3345815369572298E+00   3.0910398003691220E+00
         2         47   5.8881471317053388E-17   1.8096018393798445E+00   1.1791287700336363E-02   3.5628830564390875E-02
         2         48   2.0301425557371700E-12   2.8167381094076379E+01   6.2502737744383019E+00   1.6323550713729806E+00
         2         49   9.2955942312557790E-27   2.5773192890787505E-01   1.8735972179067032E-04   1.8158969407749011E-03
         2         50   1.6471657921334766E-12   9.2652721152122179E+00   4.3324128156131465E+00   9.9498296319525081E-01
         2         51   3.6415286368276705E-22   1.1927697208676851E+00   9.2511334143469733E-03   2.7354208946360439E-02
         2         52   3.0624350808015750E-20   2.8805816615704858E+00   2.0020386236471557E-01   8.4729036375032346E-02
         2         53   9.9822043393651461E-26   1.7791597289217889E-01   1.5874686192486311E-04   1.5258340902225317E-03
         2         54   2.9599126930600699E-20   1.3738036399802391E+00   1.7916749509030738E-01   4.3794982231882357E-02
         2         55   1.1930000439464442E-35   8.5290781989899710E-03   1.3749846464285008E-06   4.2990226894416592E-05
         2         56   2.6193905866772440E-20   5.1887687363549473E-01   1.3481784172581804E-01   4.3186093406077791E-02
         2         57   7.2782936617996318E-36   4.9188589083573812E-02   2.8712601456160130E-05   3.1893441998864986E-04
         2         58   8.3745865587277289E-34   8.2255720904080343E-02   4.9693438300784656E-04   7.7743402942159041E-04
         2         59   8.9105559558110986E-41   8.6334755198608643E-03   8.1844996588357485E-07   3.2316675026484565E-05
         2         60   8.1605568949942120E-34   5.4959295570657582E-02   4.3915849294946520E-04   3.6747615409308843E-04
         2         61   3.7895832641773106E-51   1.6424456696857535E-04   3.2003386818186832E-09   5.0105740693826351E-07
         2         62   7.3632332189321033E-34   1.3222904672502487E-02   3.3712512068534179E-04   1.5745433679351998E-04
         3          1   1.0695101569402657E+02   9.1293751187325063E+02   7.3139429876542692E+02   1.2865597345025233E+02
         3          2   8.9142804048348424E+01   7.5017611598383132E+02   6.0450861965464753E+02   1.0603506732910505E+02
         3          3   6.7089322276948394E+01   5.4699143074103449E+02   4.4456519299235327E+02   7.7447830508687446E+01
         3          4   4.3897952949179199E+01   3.3623157779526440E+02   2.7540209321170562E+02   4.7285631476130689E+01
         3          5   2.3515573718174217E+01   1.6322618402466054E+02   1.3209873492938587E+02   2.2115087458380611E+01
         3          6   6.1676346099981231E+01   5.9821126079603550E+02   4.5269347183383798E+02   8.2734667606797345E+01
         3          7   9.3173126729777387E+00   5.4058871904190681E+01   4.1182737013398132E+01   6.6140059370843263E+00
