################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0354375667968323E+00 a       163     0     6     1    13
  4.0382781025551830E+00 a       164     0     6     1    14
 -4.9387575162084500E+00 a       165     0     6     1    15
 -7.7591503181453643E+00 a       166     0     6     1    16
 -6.3093463097795315E+00 a       167     0     6     1    17
 -1.4348010349247846E+00 a       168     0     6     1    18
 -2.0388128604775961E+01 a       169     0     6     1    19
 -9.4594162547266212E+00 a       170     0     6     1    20
 -3.6273774471200206E+00 a       171     0     6     1    21
 -7.0369752320410655E+00 a       172     0     6     1    22
 -1.1673311216888791E+01 a       173     0     6     1    23
  4.5210413392327302E+00 a       174     0     6     1    24
 -2.3357534458145737E+00 a       175     0     6     1    25
  5.9309561810633382E-01 a       176     0     6     1    26
  1.0409788081800148E+01 a       177     0     6     1    27
  8.6213328131615286E-01 a       178     0     6     1    28
 -5.5835477449707112E+00 a       179     0     6     1    29
  6.9642854328413808E+00 a       180     0     6     1    30
 -2.8068263857677883E-01 a       181     0     7     1     1
 -1.6733945190334204E+01 a       182     0     7     1     2
  7.6372568468298390E+00 a       183     0     7     1     3
 -7.1295184624095338E+00 a       184     0     7     1     4
  1.0136728189449633E+00 a       185     0     7     1     5
 -1.6793901999416967E+01 a       186     0     7     1     6
 -2.3571414180649079E+01 a       187     0     7     1     7
  1.6772248943459738E+00 a       188     0     7     1     8
 -5.5358944758489770E+00 a       189     0     7     1     9
 -2.6017339741255967E+01 a       190     0     7     1    10
 -4.3634399260458165E+00 a       191     0     7     1    11
  2.3880301505823994E+01 a       192     0     7     1    12
 -8.6532634778345638E+00 a       193     0     7     1    13
 -5.3704502386627073E+00 a       194     0     7     1    14
 -1.7926438927578708E+01 a       195     0     7     1    15
  4.4305993641272146E+00 a       196     0     7     1    16
 -2.5358818586156944E+00 a       197     0     7     1    17
  1.0699529621018527E+01 a       198     0     7     1    18
 -1.4727481503799609E+01 a       199     0     7     1    19
 -7.1578068169665192E+00 a       200     0     7     1    20
 -7.9744371458993504E+00 a       201     0     7     1    21
  8.2420396745593649E+00 a       202     0     7     1    22
  3.6526219084385492E+00 a       203     0     7     1    23
 -1.1690614961069096E+01 a       204     0     7     1    24
 -3.3545741934448503E+00 a       205     0     7     1    25
 -1.6550713715382493E+01 a       206     0     7     1    26
  3.4563431415541110E+00 a       207     0     7     1    27
  5.0356792841950249E+00 a       208     0     7     1    28
  7.4771049967413630E+00 a       209     0     7     1    29
 -3.2380479183336508E+00 a       210     0     7     1    30
  1.9743315505369483E-01 a       211     0     8     1     1
  2.5244174796909064E-01 a       212     0     8     1     2
 -5.5457609994504964E-01 a       213     0     8     1     3
 -3.4333301677146161E-01 a       214     0     8     1     4
 -2.2428685366017573E+00 a       215     0     8     1     5
 -2.0110737398763203E+00 a       216     0     8     1     6
  5.8012859941060779E-01 a       217     0     8     1     7
 -1.4928820940318757E+00 a       218     0     8     1     8
  8.2571533900361718E-02 a       219     0     8     1     9
  1.2169977107714651E+00 a       220     0     8     1    10
  8.5964726682976034E-01 a       221     0     8     1    11
 -2.4128540931688582E+00 a       222     0     8     1    12
 -9.1599282016125860E-01 a       223     0     8     1    13
  9.2596063704117282E-01 a       224     0     8     1    14
  8.3169852184158022E-01 a       225     0     8     1    15
  2.8302824733313146E+00 a       226     0     8     1    16
  2.7600364493881560E+00 a       227     0     8     1    17
 -1.4522051643563292E+00 a       228     0     8     1    18
  1.0708351973380206E+00 a       229     0     8     1    19
  2.4641891210075388E+00 a       230     0     8     1    20
  2.9768846168953844E-01 a       231     0     8     1    21
  1.2774042183113998E+00 a       232     0     8     1    22
  1.5371808808705199E+00 a       233     0     8     1    23
  2.7596054678955884E-01 a       234     0     8     1    24
 -7.4277700725610285E-01 a       235     0     8     1    25
 -4.7859431864348201E-01 a       236     0     8     1    26
 -8.1737812912353325E-01 a       237     0     8     1    27
 -8.9231477043523577E-01 a       238     0     8     1    28
  1.0625915186397155E+00 a       239     0     8     1    29
 -1.6015982207471544E+00 a       240     0     8     1    30
  6.6916357489744192E+00 a       241     0     9     1     1
 -2.1561892842166461E+01 a       242     0     9     1     2
  9.6443591388724901E+00 a       243     0     9     1     3
 -1.1160679444773161E+00 a       244     0     9     1     4
 -4.9873039577614184E+00 a       245     0     9     1     5
 -1.3670284730706806E+01 a       246     0     9     1     6
 -8.6838249244507022E+00 a       247     0     9     1     7
 -7.8530611252066205E+00 a       248     0     9     1     8
  3.7863969293005111E+00 a       249     0     9     1     9
 -1.9244772529257638E+01 a       250     0     9     1    10
  3.3011485533694058E+00 a       251     0     9     1    11
  1.6624699707458376E+01 a       252     0     9     1    12
 -3.4844591919929120E+00 a       253     0     9     1    13
 -2.9166961211159586E+00 a       254     0     9     1    14
 -1.0713581886326640E+01 a       255     0     9     1    15
  1.5252368961497682E+01 a       256     0     9     1    16
  6.0121382497197828E-01 a       257     0     9     1    17
  1.2941056759931886E+01 a       258     0     9     1    18
 -2.2791452387285109E+00 a       259     0     9     1    19
 -4.5729719523632797E+00 a       260     0     9     1    20
 -7.5441494575853545E+00 a       261     0     9     1    21
  1.3354592706076614E+01 a       262     0     9     1    22
  1.6802953133158056E+01 a       263     0     9     1    23
 -9.5113006833518767E+00 a       264     0     9     1    24
 -7.6018692141346715E+00 a       265     0     9     1    25
 -1.2800974971430611E+01 a       266     0     9     1    26
 -5.0080232088733192E+00 a       267     0     9     1    27
 -3.0448823757297838E-01 a       268     0     9     1    28
  9.3915182927297334E+00 a       269     0     9     1    29
 -5.8572565496132869E+00 a       270     0     9     1    30
  4.3647353587382604E-01 a       271     0    10     1     1
 -1.1987463261373241E+00 a       272     0    10     1     2
  1.3683639751970174E+00 a       273     0    10     1     3
  2.9362893205076895E-01 a       274     0    10     1     4
  8.2128251873985891E-01 a       275     0    10     1     5
  6.8618406685305811E-01 a       276     0    10     1     6
 -3.1909619692783769E-01 a       277     0    10     1     7
 -1.0224287867959779E-01 a       278     0    10     1     8
  7.0468869758682018E-01 a       279     0    10     1     9
 -1.8996471561911485E+00 a       280     0    10     1    10
 -7.8356844728094385E-02 a       281     0    10     1    11
  1.8634444481993706E+00 a       282     0    10     1    12
 -1.4549876648241549E-02 a       283     0    10     1    13
 -6.7714360386011097E-01 a       284     0    10     1    14
 -8.0450258079793924E-01 a       285     0    10     1    15
 -1.3467549322229458E-01 a       286     0    10     1    16
 -1.3345209051280797E+00 a       287     0    10     1    17
