################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1980720342131042E+00 a       253     0     9     1    13
  1.5433527153071354E+01 a       254     0     9     1    14
  1.1686748750651196E+01 a       255     0     9     1    15
 -8.0364135697299979E+00 a       256     0     9     1    16
  9.0587631348345887E+00 a       257     0     9     1    17
 -1.5232579984134718E+00 a       258     0     9     1    18
  3.1753438745641960E+00 a       259     0     9     1    19
 -7.1633454420610254E-01 a       260     0     9     1    20
 -3.8197636013602700E+00 a       261     0     9     1    21
 -8.5240520005541711E+00 a       262     0     9     1    22
 -6.1090393769357236E+00 a       263     0     9     1    23
  3.3455687012850235E+00 a       264     0     9     1    24
 -4.8924645247080338E+00 a       265     0     9     1    25
  4.9266729761304280E+00 a       266     0     9     1    26
 -3.3256018181164975E+00 a       267     0     9     1    27
  1.4208427600323184E+00 a       268     0     9     1    28
 -2.9964084420557495E+00 a       269     0     9     1    29
 -3.1251865901039091E+00 a       270     0     9     1    30
 -9.9355200244513819E-01 a       271     0    10     1     1
  3.4029370219582938E-01 a       272     0    10     1     2
  3.0065576262038821E-02 a       273     0    10     1     3
 -5.0924890987195137E-01 a       274     0    10     1     4
  6.3305276164265689E-01 a       275     0    10     1     5
  3.9425153736706886E-01 a       276     0    10     1     6
  1.3104215976376626E-02 a       277     0    10     1     7
 -2.0443279619907426E+00 a       278     0    10     1     8
 -2.1716544558224909E-01 a       279     0    10     1     9
  7.3412495627891261E-01 a       280     0    10     1    10
  3.4638478924151637E-02 a       281     0    10     1    11
  2.1526273923228226E-01 a       282     0    10     1    12
 -2.3356825313336407E-01 a       283     0    10     1    13
 -1.5434048797147617E+00 a       284     0    10     1    14
 -1.2154555917000014E+00 a       285     0    10     1    15
  5.9040191848195811E-01 a       286     0    10     1    16
 -1.1982850577022064E+00 a       287     0    10     1    17
  2.7460657167232783E-01 a       288     0    10     1    18
 -4.6205284166915794E-01 a       289     0    10     1    19
  4.6062457322302514E-03 a       290     0    10     1    20
 -1.6079942702253439E-01 a       291     0    10     1    21
  3.4783793412703373E-01 a       292     0    10     1    22
 -3.9537610296633940E-01 a       293     0    10     1    23
 -7.0457360880316466E-01 a       294     0    10     1    24
  3.5176550668206524E-01 a       295     0    10     1    25
 -4.4999515363245424E-01 a       296     0    10     1    26
  3.9539581612193658E-01 a       297     0    10     1    27
 -2.7286208318633287E-01 a       298     0    10     1    28
  4.0668886820417340E-02 a       299     0    10     1    29
  4.2836528231253654E-02 a       300     0    10     1    30
 -3.0674833364788245E+00 a       301     0    11     1     1
 -9.9004742723758845E+00 a       302     0    11     1     2
  1.9733495736801206E+01 a       303     0    11     1     3
 -1.6588857448964497E+01 a       304     0    11     1     4
 -1.0184573329107675E+01 a       305     0    11     1     5
 -2.5062063870616843E+01 a       306     0    11     1     6
  3.5333655389613905E+00 a       307     0    11     1     7
  9.6211498011823124E+00 a       308     0    11     1     8
  4.6201522988011163E+00 a       309     0    11     1     9
 -2.6972159701900661E-01 a       310     0    11     1    10
 -2.2541712222250418E+00 a       311     0    11     1    11
 -2.8292311548399741E+01 a       312     0    11     1    12
 -8.9908011546704962E+00 a       313     0    11     1    13
 -1.2689436217331160E+01 a       314     0    11     1    14
 -4.2787002892613524E+00 a       315     0    11     1    15
  1.4113305229423437E+01 a       316     0    11     1    16
 -5.1731295715536865E+00 a       317     0    11     1    17
  5.5200646941083349E+00 a       318     0    11     1    18
 -1.0381925105497238E+00 a       319     0    11     1    19
  7.2655503174375422E+00 a       320     0    11     1    20
 -1.9032317615447409E+00 a       321     0    11     1    21
  5.0139952413643325E+00 a       322     0    11     1    22
 -5.5234866362209916E+00 a       323     0    11     1    23
 -1.1309859841291320E+01 a       324     0    11     1    24
 -2.2310225967442334E+00 a       325     0    11     1    25
  3.4882710212677939E+00 a       326     0    11     1    26
 -8.3845699959004616E+00 a       327     0    11     1    27
  6.5293316152274530E+00 a       328     0    11     1    28
 -4.1286630257629158E+00 a       329     0    11     1    29
  4.6084848181510774E-01 a       330     0    11     1    30
 -2.7323217836122327E+00 a       331     0    12     1     1
 -6.9950204823244926E+00 a       332     0    12     1     2
  1.8069216441231280E+01 a       333     0    12     1     3
  1.1679383889608060E+01 a       334     0    12     1     4
 -8.3764688090677841E-01 a       335     0    12     1     5
 -1.6184458502803214E+01 a       336     0    12     1     6
 -3.1357273382971482E+00 a       337     0    12     1     7
 -2.6010687593294173E+00 a       338     0    12     1     8
  3.4265280162747249E+00 a       339     0    12     1     9
  6.8728640285718379E-01 a       340     0    12     1    10
  1.1381080099956396E+01 a       341     0    12     1    11
 -1.7953209647571722E+01 a       342     0    12     1    12
 -1.4378756964926906E+01 a       343     0    12     1    13
 -1.2257612968965178E+01 a       344     0    12     1    14
 -7.7125239872747020E+00 a       345     0    12     1    15
  8.3914330797070456E+00 a       346     0    12     1    16
 -6.4308043203240439E+00 a       347     0    12     1    17
  5.7827792800097511E+00 a       348     0    12     1    18
  1.9729977581482911E+00 a       349     0    12     1    19
  9.4950411237106884E+00 a       350     0    12     1    20
  4.2433915312624526E+00 a       351     0    12     1    21
  4.8625649677689320E-01 a       352     0    12     1    22
 -1.1833103355517286E+01 a       353     0    12     1    23
 -1.2458438723055307E+01 a       354     0    12     1    24
 -1.4630027378302035E+00 a       355     0    12     1    25
  1.7713058827950858E+00 a       356     0    12     1    26
 -5.1878892581483793E+00 a       357     0    12     1    27
  4.6658386679315766E+00 a       358     0    12     1    28
 -5.7993639175034613E+00 a       359     0    12     1    29
 -9.3305977109758564E-01 a       360     0    12     1    30
 -2.2924910947308668E+00 a       361     0    13     1     1
 -3.2871607666418251E-02 a       362     0    13     1     2
  2.2411356098730089E+00 a       363     0    13     1     3
  2.3897930485794303E+00 a       364     0    13     1     4
  1.5327534005177530E+00 a       365     0    13     1     5
 -5.4236943205038401E-01 a       366     0    13     1     6
 -1.1776679816911630E+00 a       367     0    13     1     7
 -5.2016435017519402E+00 a       368     0    13     1     8
  2.8371553832393542E-01 a       369     0    13     1     9
  2.0663532189895615E+00 a       370     0    13     1    10
  3.4086177640605446E+00 a       371     0    13     1    11
 -7.7336291726637596E-01 a       372     0    13     1    12
 -2.9611557925544187E+00 a       373     0    13     1    13
 -4.0527973591662896E+00 a       374     0    13     1    14
 -3.7780891822699951E+00 a       375     0    13     1    15
  1.6812930726812223E+00 a       376     0    13     1    16
 -2.9806910443799159E+00 a       377     0    13     1    17
  9.9894526675361039E-01 a       378     0    13     1    18
 -3.4549551819742491E-01 a       379     0    13     1    19
  1.2232996940866123E+00 a       380     0    13     1    20
  2.4514329842755305E+00 a       381     0    13     1    21
  9.7035224738944340E-02 a       382     0    13     1    22
 -1.3738354753136941E+00 a       383     0    13     1    23
 -3.3287544964538367E+00 a       384     0    13     1    24
  4.7908793896993573E-01 a       385     0    13     1    25
 -5.4407035943013604E-01 a       386     0    13     1    26
  3.1533583279920085E-01 a       387     0    13     1    27
 -8.2923235901380565E-02 a       388     0    13     1    28
 -1.5387990859836065E+00 a       389     0    13     1    29
 -3.7260983784633869E-02 a       390     0    13     1    30
 -2.0634027304168345E-01 a       391     0    14     1     1
  1.1919995480330169E-01 a       392     0    14     1     2
  5.5836681720000236E-03 a       393     0    14     1     3
  8.2697720732796947E-03 a       394     0    14     1     4
  3.2175685206931487E-01 a       395     0    14     1     5
  3.7608973027997189E-01 a       396     0    14     1     6
  6.2139458512892674E-02 a       397     0    14     1     7
 -5.8236855777161278E-01 a       398     0    14     1     8
  9.8173678303356635E-03 a       399     0    14     1     9
  2.1155436797763474E-01 a       400     0    14     1    10
  7.4538086442919399E-02 a       401     0    14     1    11
  1.4866358672651564E-01 a       402     0    14     1    12
 -8.2895849641264688E-03 a       403     0    14     1    13
 -3.7437605061809154E-01 a       404     0    14     1    14
 -3.5330414151401984E-01 a       405     0    14     1    15
  2.3058423716953321E-02 a       406     0    14     1    16
 -2.2099420041223244E-01 a       407     0    14     1    17
  2.6102680039462295E-01 a       408     0    14     1    18
  6.1397263379390200E-02 a       409     0    14     1    19
  2.0545891613249775E-01 a       410     0    14     1    20
  8.6747028043388008E-01 a       411     0    14     1    21
 -6.7478212127111470E-02 a       412     0    14     1    22
  6.2162751748624380E-02 a       413     0    14     1    23
 -3.0732493259823684E-01 a       414     0    14     1    24
  3.6650747231056560E-02 a       415     0    14     1    25
  8.2192482773169248E-02 a       416     0    14     1    26
  1.3823453198723409E-01 a       417     0    14     1    27
  6.8852099583620111E-02 a       418     0    14     1    28
  5.7305622178187967E-03 a       419     0    14     1    29
 -3.4336126785818918E-02 a       420     0    14     1    30
  9.3623497987510262E+00 a       421     0    15     1     1
 -5.8120587401594888E+00 a       422     0    15     1     2
  3.6948293999337075E+01 a       423     0    15     1     3
  1.0959423238921636E+01 a       424     0    15     1     4
 -8.1616195968327467E+00 a       425     0    15     1     5
  3.1800462352182546E+00 a       426     0    15     1     6
 -1.2759596102796474E+01 a       427     0    15     1     7
 -1.0499248109661838E+01 a       428     0    15     1     8
 -4.5482355791979616E+00 a       429     0    15     1     9
 -1.5352944979843899E+01 a       430     0    15     1    10
 -4.6923417386736901E+00 a       431     0    15     1    11
 -2.8487004270584276E+01 a       432     0    15     1    12
 -1.4437717859604708E+01 a       433     0    15     1    13
 -1.0450623762109519E+01 a       434     0    15     1    14
  1.2061300845729351E+01 a       435     0    15     1    15
 -1.1590684666681707E+01 a       436     0    15     1    16
  2.1648050204438043E+01 a       437     0    15     1    17
 -1.6518692952736117E+01 a       438     0    15     1    18
  6.8564980278246503E+00 a       439     0    15     1    19
 -1.8763374755079763E+01 a       440     0    15     1    20
  2.2574340967520094E+01 a       441     0    15     1    21
  5.7897850064046852E-01 a       442     0    15     1    22
